hebrew,transliteration,root,pos,gender,verb_group,pattern,number,other_descriptors,translation,pos_raw,entry_url,page
אָב,av,-,Noun,masculine,,,,,father,Noun – masculine,https://www.pealim.com/dict/6009-av/,1
אַבָּא,aba,-,Noun,,,,,,"dad, father",Noun,https://www.pealim.com/dict/4845-aba/,1
אֲבִיבִי,avivi,א - ב - ב,Adjective,,,,,,"spring-like, vernal",Adjective,https://www.pealim.com/dict/9098-avivi/,1
אֵב,ev,א - ב - ב,Noun,masculine,,ketel,,,"bud, shoot (of a plant) (lit.)","Noun – ketel pattern, masculine",https://www.pealim.com/dict/4216-ev/,1
אָבִיב,aviv,א - ב - ב,Noun,masculine,,katil,,,spring (season),"Noun – katil pattern, masculine",https://www.pealim.com/dict/4084-aviv/,1
אֲבֵידָה,aveda,א - ב - ד,Noun,feminine,,ktela,,,"loss; (in plural) casualties, losses","Noun – ktela pattern, feminine",https://www.pealim.com/dict/8743-aveda/,1
לֶאֱבוֹד,le'evod,א - ב - ד,Verb,,pa'al,,,,"to be lost, to stray, to perish",Verb – pa'al,https://www.pealim.com/dict/56-leevod/,1
לְהֵיאָבֵד,lehe'aved,א - ב - ד,Verb,,nif'al,,,,"to be lost, to perish",Verb – nif'al,https://www.pealim.com/dict/57-leheaved/,1
לְהִתְאַבֵּד,lehit'abed,א - ב - ד,Verb,,hitpa'el,,,,to commit suicide,Verb – hitpa'el,https://www.pealim.com/dict/59-lehitabed/,1
אִיבּוּד,ibud,א - ב - ד,Noun,masculine,,kittul,,,"loss, disappearance","Noun – kittul pattern, masculine",https://www.pealim.com/dict/3636-ibud/,1
הִתְאַבְּדוּת,hit'abdut,א - ב - ד,Noun,feminine,,hitkattlut,,,suicide,"Noun – hitkattlut pattern, feminine",https://www.pealim.com/dict/3006-hitabdut/,1
לְהַאֲבִיד,leha'avid,א - ב - ד,Verb,,hif'il,,,,"to destroy, to demolish, to cause utter loss",Verb – hif'il,https://www.pealim.com/dict/6074-lehaavid/,1
אֲבֵדָה,aveda,א - ב - ד,Noun,feminine,,ktela,,,loss,"Noun – ktela pattern, feminine",https://www.pealim.com/dict/3637-aveda/,1
אָבוּד,avud,א - ב - ד,Adjective,,,katul,,,lost; hopeless,Adjective – katul pattern,https://www.pealim.com/dict/3638-avud/,1
לְאַבֵּד,le'abed,א - ב - ד,Verb,,pi'el,,,,"to lose, to destroy",Verb – pi'el,https://www.pealim.com/dict/58-leabed/,1
אֲבַדּוֹן,avadon,א - ב - ד,Noun,,,,,,"destruction, devastation",Noun,https://www.pealim.com/dict/7199-avadon/,2
אָבוֹקָדוֹ,avokado,-,Noun,masculine,,,,,🥑 avocado,Noun – masculine,https://www.pealim.com/dict/7061-avokado/,2
אַבְזָם,avzam,-,Noun,masculine,,,,,buckle (of a belt),Noun – masculine,https://www.pealim.com/dict/9010-avzam/,2
לְאַבְזֵר,le'avzer,א - ב - ז - ר,Verb,,pi'el,,,,"to equip, fit out",Verb – pi'el,https://www.pealim.com/dict/8634-leavzer/,2
אִיבְחוּן,ivchun,א - ב - ח - ן,Noun,masculine,,kittul,,,"check, diagnosis; diagnostics","Noun – kittul pattern, masculine",https://www.pealim.com/dict/3915-ivchun/,2
לְאַבְחֵן,le'avchen,א - ב - ח - ן,Verb,,pi'el,,,,"to diagnose, to analyse",Verb – pi'el,https://www.pealim.com/dict/60-leavchen/,2
לְאַבְטֵחַ,le'avteach,א - ב - ט - ח,Verb,,pi'el,,,,"to secure, to protect",Verb – pi'el,https://www.pealim.com/dict/61-leavteach/,2
אִיבְטוּחַ,ivtuach,א - ב - ט - ח,Noun,masculine,,kittul,,,"protection, guarding, securing","Noun – kittul pattern, masculine",https://www.pealim.com/dict/4737-ivtuach/,2
אֲבַטִּיחַ,avatiach,-,Noun,masculine,,,,,watermelon,Noun – masculine,https://www.pealim.com/dict/5597-avatiach/,2
אַבְטִיפּוּס,avtipus,-,Noun,,,,,,prototype,Noun,https://www.pealim.com/dict/6957-avtipus/,2
לֶאֱבוֹת,le'evot,א - ב - ה,Verb,,pa'al,,,,"to desire, to want (archaic)",Verb – pa'al,https://www.pealim.com/dict/3849-leevot/,2
אֲבִיזָר,avizar,-,Noun,masculine,,,,,accessory,Noun – masculine,https://www.pealim.com/dict/9011-avizar/,2
אוֹבֶךְ,ovech,א - ב - ך,Noun,masculine,,kotel,,,"haze, haziness","Noun – kotel pattern, masculine",https://www.pealim.com/dict/8521-ovech/,2
אָבִיךְ,avich,א - ב - ך,Adjective,,,katil,,,"hazy, dusty (air)",Adjective – katil pattern,https://www.pealim.com/dict/9234-avich/,2
אֵבֶל,evel,א - ב - ל,Noun,masculine,,ketel,,,mourning,"Noun – ketel pattern, masculine",https://www.pealim.com/dict/3195-evel/,2
לֶאֱבוֹל,le'evol,א - ב - ל,Verb,,pa'al,,,,"to grieve, to mourn (על) (lit.)",Verb – pa'al,https://www.pealim.com/dict/3967-leevol/,3
אֲבָל,aval,-,Conjunction,,,,,,"but, however",Conjunction,https://www.pealim.com/dict/4642-aval/,3
