dialect,english,arabic gt,arabic predicted,arabic gt transliteration,arabic predicted transliteration
Palestinian,The teacher says that distinguishing colors is very important for young children.,المعلمة بتقول إنه تمييز الألوان مهم كتير للأطفال الصغار.,المعلمة بتقول إنه تمييز الألوان مهم كتير للأطفال الصغار.,il-mu'allime bt'ool innu tamyeez il-alwan muhim kteer lil-atfal iz-zghar.,il-mu'allime bt'ool innu tamyeez il-alwan muhim kteer lil-atfal iz-zghar.
Palestinian,"I wish we could solve all the complexities of life easily, but that is impossible.",يا ريت نقدر نحل كل تعقيدات الحياة بسهولة، بس هادا مستحيل.,يا ريت نقدر نحل كل تعقيدات الحياة بسهولة، بس هادا مستحيل.,"ya reet ni'dar n7el kul ta'qeidat il-7ayah b-suhuleh, bas hada mustaheel.","ya reet ni'dar n7el kul ta'qeidat il-7ayah b-suhuleh, bas hada mustaheel."
Palestinian,"Guys, guess the shirt size and win it.",جماعتنا، اعرف نمرة البلوزة واربحها.,يا جماعة، احزروا نمرة البلوزة واربحوها.,"jama3tna, i3raf namret el-bluze w-irba7ha.","ya jama3a, ihzaru namret el-bluze w-irba7uha."
Palestinian,"You know, every time I see someone carrying a big worry, I feel like they are carrying a heavy sack on their shoulder. We need to help each other and lighten the load for one another.",بتعرف، كل ما بشوف حدا بيحمل هم كبير، بحس إنو حامل شوال تقيل على كتفو. لازم نساعد بعض ونخفف الحمل عن بعض.,بتعرف، كل مرة بشوف حدا شايل هم كبير، بحس كأنه شايل شوال تقيل على كتفه. لازم نساعد بعض ونخفف الحمل عن بعض.,"bti‘raf, kul ma bashuf hada biyihmil hamm kbir, bahiss innu hamil shwal ti'il ‘ala kitfu. lazim nsa‘id ba‘d w nkhaffif il-himil ‘an ba‘d.","bti‘raf, kul marra bashuf hada shayel hamm kbir, bahiss ka'anno shayel shwal ti'il ‘ala kitfo. lazim nsa‘id ba‘d w nkhaffif il-himil ‘an ba‘d."
Palestinian,I can tell from the way you talk that you are very excited about this new project.,بقدر أشوف من طريقة حديثك إنك متحمس كتير لهادا المشروع الجديد.,بقدر أعرف من طريقة حكيك إنك متحمس كتير لهاد المشروع الجديد.,ba'dar ashoof min taree'et hadeesak innak mitحمmes kteer lahada el-mashroo' el-jdeed.,ba'dar a'raf min taree'et hakyak innak mitحمmes kteer lahad el-mashroo' el-jdeed.
Palestinian,"I want to tell him that I love him, but I'm afraid that he doesn't love me at all.",بدي أحكيله إني بحبه، بس خايفة إنه ما بيحبني بالمرة.,بدي أحكيله إني بحبه، بس خايفة إنه ما بيحبني بالمرة.,"biddi ahkilo inni bhibbo, bas khayfe inno ma bihibbni bilmarra.","biddi ahkilo inni bhibbo, bas khayfe inno ma bihibbni bilmarra."
Palestinian,The mechanic that my brother works for says he has never seen someone like him who understands car repair.,المعلم إلي بيشتغل عنده أخوي بيقول إنه ما شاف واحد متله بيفهم في تصليح السيارات.,الميكانيكي اللي أخوي بيشتغل عنده بيقول إنه عمره ما شاف حدا متله بيفهم بتصليح السيارات.,il-m3allem illi byishtighel 3indo akhuy bi2ul innu ma shaf wa7ad mitlo bifham fi tasli7 is-sayyarat.,il-mikaniki illi akhuy byishtighel 3indo bi2ul innu 3omro ma shaf 7ada mitlo bifham b-tasli7 is-sayyarat.
Palestinian,The boy was so smart that he solved the complex mathematical problem without any help.,كان الولد ها القدة ذكي إنه حل المسألة الرياضية المعقدة بدون مساعدة.,كان الولد ذكي لهالدرجة إنه حل المسألة الرياضية المعقدة بدون أي مساعدة.,kan el-walad ha el-adde zaki inno hall el-mas'ale el-riyadiyye el-mu'aqqade bidoon musa'ade.,kan el-walad zaki la-hal-daraje inno hall el-mas'ale el-riyadiyye el-mu'aqqade bidoon ay musa'ade.
Palestinian,My father taught me that honest work is more important than money.,أبوي علمني إنه الشغل الشريف أهم من المصاري.,أبوي علّمني إنه الشغل الشريف أهم من المصاري.,Abuy 3allamni innu ish-shughol ish-sharif aham min il-masari.,Abuy 3allamni innu ish-shughol ish-sharif aham min il-masari.
Palestinian,"If you don't have a permit, you can't set foot in this area, and that makes life very difficult.",إذا ما معك تسريح، ما بتقدر تحط إجرك في المنطقة هادي، وهادا بخلي الحياة صعبة كتير.,إذا ما معك تصريح، ما بتقدر تحط إجرك بالمنطقة هاي، وهاد بخلي الحياة صعبة كتير.,"Iza ma ma'ak tasreeh, ma bti'dar thott ijrak fi il-manti'a hadi, w-hada bikhalli il-haya s'abé ktir.","Iza ma ma'ak tasreeh, ma bti'dar thott ijrak bil-manti'a hay, w-had bikhalli il-haya s'abé ktir."
