dialect,english,arabic gt,arabic predicted,arabic gt transliteration,arabic predicted transliteration
Lebanese,"The party ended at midnight, and I returned home very tired.",انتهى الحفلة بنص الليل، ورجعت عالبيت كتير تعبانة.,خلصت الحفلة بنص الليل، ورجعت عالبيت كتير تعبانة.,"Intaha el hafle bnos el leil, w rjeet aal beit ktir taabene.","Kholset el hafle bnos el leil, w rjeet aal beit ktir taabene."
Palestinian,"A strange idea came to my mind yesterday, to open a restaurant for pets.",فكرة غريبة خطرت على بالي إمبارح، إنه نفتح مطعم للحيوانات  الأليفة.,إجت عبالي إمبارح فكرة غريبة، إني أفتح مطعم للحيوانات الأليفة.,"Fikra gharibe khatarat 3ala bali imbareh, inno niftah mat3am lil-hayawanat el-alife.","Ijat 3a bali imbareh fikra gharibe, inni aftah mat3am lil-hayawanat el-alife."
Syrian,It would be difficult for someone to reach his precision.,بيكون صعب الواحد يصل للدقة تبعو ‎,بيكون صعب حدا يوصل لدقّتو.,bikoon sa'eb el-wahed yosal la-d-deqqa taba'o,bikoon sa'eb hada yosal la-deqqto
Egyptian,"She yells at her husband every day, so he wants to divorce her.",هي بتغجر لجوزها كل يوم، عشان كده هو عايز يطلقها.,هي بتزعق لجوزها كل يوم، عشان كده هو عايز يطلقها.,"heyya betghaggar le gozha kol yom, 3ashan keda howwa 3ayez yetalla2ha.","heyya betza2a2 le gozha kol yom, 3ashan keda howwa 3ayez yetalla2ha."
Palestinian,"There was a misunderstanding between me and my friend, and I can't understand the reason.",صار سوء تفاهم  بيني وبين صاحبي، وما بقدر أفهم شو السبب.,صار سوء تفاهم بيني وبين صاحبي، وما بقدر أفهم شو السبب.,"saar suu' tafaahom beini w bein saahbi, w ma ba'dar afham shu is-sabab.","saar suu' tafaahom beini w bein saahbi, w ma ba'dar afham shu is-sabab."
Palestinian,The painter wants to paint the front of the house beige before winter starts.,الصباغ بدو يصبغ واجهة البيت بلون بيج قبل ما يبلش الشتا.,الصباغ بدو يصبغ واجهة البيت بلون بيج قبل ما يبلش الشتا.,is-sabbagh biddo yisbogh wajhet il-bet bilon beej qabel ma yiballesh ish-shita.,is-sabbagh biddo yisbogh wajhet il-bet bilon beej qabel ma yiballesh ish-shita.
Palestinian,I wish you could call the doctor's number and make an appointment for me for tomorrow morning.,يا ريت بتقدر تضرب رقم الطبيب وتحجزلي موعد لبكرا الصبح.,يا ريت تقدر تتصل على رقم الدكتور وتحجزلي موعد لبكرا الصبح.,ya reit bti'dar tidrob raqam it-tabeeb w-tihjizli maw'ed la-bukra is-subuh.,ya reit ti'dar titصل على raqam id-duktor w-tihjizli maw'ed la-bukra is-subuh.
Palestinian,"The press publishes pictures of the murdered, and this makes his family suffer more.",الصحافة بتنشر صور المغدور، وهادا الشي بخلي عيلته تتألم أكتر.,الصحافة بتنشر صور المغدور، وهاد الشي بخلي عيلته تتألم أكتر.,"is-sahafe btinshur suwar il-maghdoor, w-hada ish-shi bkhalli 3eiltu tit'alam aktar.","is-sahafe btinshur suwar il-maghdoor, w-had ish-shi bkhalli 3eiltu tit'alam aktar."
Egyptian,"I don't want to speak badly about anyone, but he is really not good.",مش عايز أذم في حد، بس هو فعلن مش كويس,مش عايز أتكلم وحش عن حد، بس هو بجد مش كويس.,"mesh 3ayez azom fi had, bas howa fe3lan mesh kwayes","mesh 3ayez atkalem wehesh 3an had, bas howa begad mesh kwayes"
Palestinian,I think we need to be cautious of any bait trying to lure us into dangerous situations.,أظن إنه لازم نكون حذرين من أي طعم بيحاول يستدرجنا لمواقف خطيرة.,بفكر لازم نكون حذرين من أي طُعم بحاول يستدرجنا لمواقف خطيرة.,Azunn innu laazim nkoon hadhreen min ayy ta'am biyhawel yistidrijna la-mawaqef khateere.,Bfakker laazim nkoon hadhreen min ayy to'om bihawel yistidrijna la-mawaqef khateere.
